SPG21	[0.14832344 0.00042383]
ARHGEF12	[0.07030679 0.096194  ]
RNF128	[0.07030485 0.09620322]
ATOX1	[-0.07027192  0.09635954]
MYL2	[-0.07026411  0.0963966 ]
ZNF364	[-0.07024548  0.09648519]
PPIF	[0.07024142 0.09650449]
PALM2-AKAP2	[-0.07022968  0.0965603 ]
SLC35B1	[-0.07022714  0.09657241]
HD	[0.07022707 0.09657276]
DUSP11	[0.07021196 0.09664465]
DUT	[0.0702007  0.09669827]
ATM	[0.07018566 0.09676995]
TRAPPC4	[0.07018442 0.09677587]
TTC27	[0.07018267 0.09678423]
FBXO3	[0.07017429 0.09682416]
ZNF346	[-0.07016128  0.09688621]
RPAP3	[0.07015862 0.09689889]
CDH23	[0.07014959 0.09694201]
RAB3GAP1	[0.07014705 0.09695409]
WHDC1L1	[-0.07014509  0.09696347]
UTP14A	[0.07013691 0.09700251]
PRICKLE2	[-0.07013454  0.09701387]
CC2D1B	[-0.07012745  0.09704771]
SNX8	[-0.07011675  0.09709881]
CCDC6	[0.07011374 0.09711322]
FNBP4	[0.07009936 0.09718196]
CDCA5	[0.07008768 0.09723785]
DDX31	[0.07005399 0.09739916]
PRRX1	[-0.07004607  0.09743707]
MGAT3	[0.07004341 0.09744982]
IRAK2	[-0.07003442  0.09749293]
TERF1	[0.07000249 0.09764611]
OR4B1	[-0.07000223  0.09764736]
FGF2	[-0.06999761  0.09766954]
TSR2	[0.06999133 0.09769973]
C20orf74	[0.06998864 0.09771262]
ZNF202	[0.06998435 0.09773322]
MYEF2	[0.06996665 0.09781829]
ZCWPW1	[-0.06996145  0.09784331]
FBXW2	[0.06992772 0.09800561]
LIX1L	[-0.0699043   0.09811842]
HABP2	[-0.06988487  0.09821207]
SLC6A20	[0.06987504 0.0982595 ]
ESPL1	[0.06986264 0.09831931]
URM1	[0.06985456 0.09835831]
KIAA0415	[-0.069853    0.09836585]
RIMS2	[-0.06984552  0.098402  ]
GPR128	[-0.06983581  0.09844891]
PPP2R5C	[0.06981609 0.09854421]
PABPC4	[0.06980914 0.09857784]
KERA	[-0.06980575  0.09859423]
CD53	[-0.06980406  0.09860241]
ARHGAP19	[0.06979148 0.0986633 ]
MEPCE	[0.06978673 0.0986863 ]
DIXDC1	[0.06978301 0.09870429]
C6orf15	[-0.0697617   0.09880751]
CCDC117	[-0.06976131  0.09880939]
CSMD2	[-0.0697484   0.09887196]
C4orf32	[-0.06973437  0.09894004]
PPIL1	[-0.06973063  0.09895816]
IMPDH2	[0.06971617 0.09902834]
MYLK	[-0.06970194  0.09909747]
RING1	[-0.06969578  0.09912739]
OR10W1	[-0.0696734   0.09923615]
C6orf60	[-0.06959393  0.09962319]
ZNF274	[0.06957466 0.09971721]
TOM1	[-0.06955999  0.09978887]
FAM86C	[0.06955611 0.09980779]
CCDC88C	[0.06951949 0.09998681]
MBD1	[0.06946435 0.10025686]
KCNE4	[-0.06939612  0.10059178]
TXNDC14	[0.0693937  0.10060367]
PIP4K2C	[0.06938516 0.10064567]
SELL	[-0.0693663   0.10073845]
RPS15	[0.06936488 0.10074545]
SEC23IP	[0.06935344 0.10080178]
SSB	[0.06935013 0.10081806]
ANKRD23	[-0.06934767  0.10083016]
ZNHIT1	[-0.06932746  0.10092974]
GLULD1	[-0.06932094  0.10096188]
CDC2	[0.06931373 0.10099742]
C11orf1	[0.06927339 0.10119653]
ABCB4	[-0.06926468  0.10123953]
ST8SIA1	[-0.06924288  0.10134727]
ZBP1	[-0.0692416   0.10135362]
SPG11	[0.06922177 0.10145174]
SRRM1	[0.06921665 0.10147707]
CNTFR	[-0.06921568  0.10148184]
JMJD1C	[0.06920786 0.10152057]
TRIM32	[0.06919815 0.10156865]
TMC6	[-0.06918226  0.10164741]
P2RX3	[-0.06917813  0.10166787]
LIMK1	[-0.06917716  0.10167268]
MEF2C	[-0.06917155  0.1017005 ]
PILRA	[-0.06915784  0.1017685 ]
CASP5	[-0.06914307  0.1018418 ]
BTG2	[0.06914278 0.10184321]
FKBPL	[-0.06911794  0.1019666 ]
MPST	[-0.06911395  0.1019864 ]
IL5	[-0.06911288  0.10199176]
VRK3	[0.06911115 0.10200032]
SF3B3	[0.06909654 0.10207298]
NAV1	[-0.06909118  0.10209963]
DKK4	[-0.06908157  0.10214741]
PKMYT1	[-0.06907841  0.10216317]
ZNF14	[0.06905155 0.10229691]
ADAMTS10	[-0.06904875  0.10231082]
VARS2	[-0.06904722  0.10231844]
RFXDC1	[-0.06903799  0.10236446]
LOC644285	[-0.06903654  0.1023717 ]
ZNF395	[0.06902092 0.10244957]
ZFP3	[0.069011   0.10249905]
OR56B1	[-0.06900635  0.10252224]
DHFRL1	[0.06899946 0.10255663]
BAT5	[-0.06898903  0.10260869]
NAV3	[-0.0689835   0.10263633]
AIFM3	[-0.06897174  0.10269509]
AP1S2	[-0.06896508  0.10272838]
CASP8	[0.06894046 0.10285145]
VPS33B	[0.06892851 0.10291129]
KLF17	[-0.06891737  0.10296704]
OR11L1	[-0.06890896  0.10300915]
PRPF4	[0.06889829 0.10306261]
HNRPH3	[0.06889744 0.10306689]
SCN2A	[-0.06888946  0.10310686]
BRD7	[0.06888761 0.10311613]
MARCH3	[-0.06888584  0.10312501]
ZSWIM2	[-0.0688506   0.10330181]
GAL3ST4	[-0.06884805  0.10331461]
LOC147650	[0.06882785 0.10341607]
OR2H1	[-0.06881685  0.10347136]
USP8	[0.06881671 0.10347209]
FLJ13236	[0.06880209 0.10354557]
RANGAP1	[0.0687753  0.10368042]
PSAT1	[0.06876322 0.10374125]
RNF157	[-0.06876313  0.10374168]
OSTM1	[-0.06875325  0.10379147]
TUSC1	[-0.0687516   0.10379977]
AEBP1	[-0.06874933  0.10381124]
C1orf128	[0.06874867 0.10381456]
CFI	[0.06874111 0.10385266]
SDCCAG10	[0.06873763 0.1038702 ]
LYZL6	[-0.06872525  0.10393262]
EPS15L1	[0.06872521 0.10393284]
DPEP2	[-0.06871653  0.10397665]
LILRB1	[-0.06871298  0.10399457]
MPEG1	[-0.06870507  0.1040345 ]
RAB8A	[0.06868059 0.10415812]
PTGDR	[-0.06867685  0.10417703]
SEC24C	[0.06866804 0.10422157]
KLHL11	[-0.06865615  0.1042817 ]
SFRP4	[-0.06865397  0.10429272]
TIMP4	[-0.06865312  0.10429699]
MGC27016	[-0.06863986  0.10436409]
CDS2	[0.06863215 0.10440312]
ADH6	[-0.0686317   0.10440539]
FLI1	[-0.06862745  0.10442692]
LOC339229	[-0.0686219   0.10445504]
PPFIA1	[0.06861602 0.10448481]
ARHGAP21	[0.06861218 0.10450428]
CDH19	[-0.06860523  0.10453948]
GGT6	[0.06858947 0.10461939]
UNKL	[-0.06857522  0.1046917 ]
SMOC1	[-0.06856711  0.10473285]
PPP1R1A	[-0.06856685  0.10473413]
FAH	[0.06855917 0.10477311]
C12orf23	[-0.06855048  0.10481725]
KCNB2	[0.06853847 0.10487825]
KLRD1	[-0.06853401  0.10490091]
ELAVL2	[-0.06852793  0.10493182]
GATAD1	[-0.06852502  0.10494663]
ZNF683	[-0.06852324  0.10495567]
TINAG	[-0.0685124   0.10501081]
KIAA1586	[-0.06850589  0.10504392]
TRIML1	[-0.06849874  0.10508028]
BHMT	[-0.06849469  0.10510089]
ADAM29	[-0.06848116  0.10516975]
C16orf78	[-0.06847628  0.1051946 ]
ORAOV1	[0.06846627 0.10524561]
LAMP1	[0.0684659  0.10524749]
MYT1	[-0.06846209  0.1052669 ]
PSMC3	[0.06844421 0.10535808]
SFRS15	[0.06843731 0.10539325]
ZBED3	[-0.06842524  0.10545481]
DOK2	[-0.06838521  0.10565925]
LIN7C	[0.06836336 0.10577097]
OXSR1	[0.06836056 0.1057853 ]
C20orf32	[-0.06834013  0.10588985]
GK3P	[-0.06832179  0.10598379]
ACTR8	[0.06831395 0.10602397]
MPHOSPH10	[0.06830487 0.10607052]
EDG1	[-0.06829406  0.10612595]
MAPKAP1	[0.0682847  0.10617392]
DPY19L2P3	[-0.06828368  0.10617915]
GBP6	[-0.06828347  0.10618022]
HCCS	[0.06826686 0.10626551]
PFN4	[-0.06825537  0.1063245 ]
C7orf53	[-0.06824914  0.10635649]
CASK	[0.06822928 0.10645857]
IL2RA	[-0.06822008  0.10650587]
ZNF28	[0.06820115 0.1066033 ]
KIAA1822L	[-0.06817408  0.10674266]
HHLA2	[-0.06813457  0.1069464 ]
RBM4	[0.06813371 0.10695085]
DES	[-0.06812773  0.10698171]
GCM1	[-0.06812757  0.1069825 ]
BAP1	[0.06808195 0.1072182 ]
COL6A3	[-0.06806685  0.1072963 ]
CHST11	[-0.06806303  0.10731604]
C1orf177	[-0.06804799  0.1073939 ]
FLT1	[-0.06803957  0.10743749]
KRT33B	[-0.06803402  0.10746624]
ETFA	[0.0680241  0.10751764]
C6orf142	[-0.06800436  0.10761996]
TOR3A	[-0.06799763  0.10765484]
C16orf65	[-0.06799212  0.10768346]
TM4SF19	[-0.06799167  0.10768579]
ARPC5	[-0.06797132  0.10779142]
ASCL1	[-0.06795225  0.10789046]
DERL3	[-0.06795103  0.10789681]
C19orf53	[0.06794902 0.10790722]
OR4A15	[-0.06794882  0.10790828]
CPA5	[-0.06794294  0.10793883]
FXR1	[0.06793413 0.10798462]
NDUFV3	[0.06791705 0.10807347]
C9orf90	[0.06790234 0.10815001]
PCDH12	[-0.06790148  0.10815452]
P4HA1	[0.06790061 0.10815904]
RWDD3	[-0.06789567  0.10818476]
POSTN	[-0.0678917   0.10820541]
TLR7	[-0.0678814   0.10825907]
SMAD6	[0.06784166 0.10846627]
PDIA3	[0.06783701 0.10849056]
TJP1	[0.06782416 0.10855761]
APOC1	[-0.06781693  0.10859538]
LSM11	[-0.06781422  0.10860955]
INPP4A	[-0.06780556  0.10865476]
OGFOD1	[0.06779367 0.1087169 ]
PSMA1	[0.0677772  0.10880301]
BAG5	[0.06776507 0.1088665 ]
EIF3A	[0.06776068 0.10888948]
RRBP1	[0.06775974 0.10889437]
GABRB3	[-0.06775841  0.10890132]
PGBD3	[-0.06775723  0.10890753]
LOC389517	[-0.0677554   0.10891709]
TNFAIP8	[-0.06773851  0.10900554]
GBGT1	[-0.06772926  0.109054  ]
GRIN2B	[-0.06772467  0.10907805]
CCDC7	[-0.06772461  0.10907839]
TDRD10	[-0.06771335  0.10913741]
RAD54B	[0.06770279 0.10919281]
KIF2B	[-0.06769165  0.10925126]
RETNLB	[-0.06768902  0.10926506]
MPI	[0.06768038 0.10931039]
OR8J1	[-0.06766096  0.10941238]
ITGA5	[-0.06766062  0.10941419]
MYOZ1	[0.06766035 0.10941558]
C18orf20	[-0.06765072  0.10946619]
GPR56	[0.06764375 0.10950282]
C4BPA	[-0.0676407   0.10951884]
CALML4	[0.06763906 0.10952749]
NUBP1	[0.06763664 0.10954021]
RUNX3	[-0.06763658  0.1095405 ]
OR5D13	[-0.06761667  0.10964526]
IFRD2	[0.06759906 0.10973795]
C9orf102	[0.06759873 0.10973968]
TRIM63	[-0.0675877   0.10979782]
CD1C	[-0.06757362  0.10987197]
CELSR1	[0.06756154 0.10993568]
DOCK11	[-0.06755011  0.10999595]
TRAV20	[-0.06754418  0.11002728]
EFCBP2	[-0.06753986  0.11005004]
IKZF1	[-0.06752147  0.11014714]
CREG1	[-0.06749966  0.1102624 ]
ANKDD1A	[0.06749754 0.11027357]
EGF	[-0.06747713  0.11038153]
PPP3R1	[-0.06746453  0.11044821]
JAKMIP1	[-0.06745783  0.11048369]
TIGD5	[-0.06745247  0.11051204]
APOBEC3A	[-0.0674365   0.11059663]
FBXO34	[0.06741079 0.11073293]
CHN1	[-0.06740471  0.1107652 ]
ZFP106	[0.06740413 0.11076828]
PLEKHM1	[-0.06739968  0.1107919 ]
HMOX1	[-0.0673977   0.11080236]
FNDC5	[-0.06738805  0.11085358]
HCK	[-0.06738773  0.11085529]
hCG_2004593	[0.06737152 0.11094134]
GPR150	[-0.0673668   0.11096641]
RABIF	[-0.06736497  0.11097614]
GPS1	[-0.06736008  0.11100216]
C4orf30	[0.06735912 0.11100723]
KCNK17	[-0.06735801  0.11101314]
GRM1	[-0.06735515  0.11102833]
SENP2	[0.06735472 0.11103061]
LRRC59	[-0.06732458  0.11119089]
HOXC5	[0.06731316 0.11125168]
TMEM83	[-0.06730396  0.11130065]
C9orf6	[0.06729302 0.11135893]
TLN2	[0.06728967 0.11137678]
HMGB4	[-0.06728496  0.1114019 ]
TLR9	[-0.06728251  0.11141491]
EXOC8	[0.06727286 0.11146637]
OR2B11	[-0.06727013  0.11148094]
GNL2	[0.06726198 0.11152441]
TMEM176A	[-0.06726082  0.11153058]
PABPC1	[0.06725997 0.1115351 ]
XBP1	[-0.0672534   0.11157018]
NUP98	[0.06724607 0.11160925]
NLN	[0.06722589 0.11171699]
HAO1	[-0.06722202  0.11173769]
ABHD12B	[0.06721817 0.11175825]
SMC1A	[0.0672154  0.11177301]
ZNF586	[0.06721235 0.11178934]
TUBB2A	[-0.06720508  0.11182819]
NOX3	[-0.06718006  0.11196196]
CPNE4	[0.06717944 0.11196531]
GPR141	[-0.06717041  0.11201363]
KIF21A	[0.0671634  0.11205115]
NS3BP	[-0.06715771  0.1120816 ]
PLEKHA9	[0.06714723 0.11213774]
ETV7	[-0.06714699  0.11213898]
CCL11	[-0.06714578  0.11214548]
ADA	[-0.06713775  0.1121885 ]
PODN	[-0.06712001  0.11228358]
ELL2	[-0.06711548  0.11230786]
ALDOA	[0.06711245 0.11232411]
GRK7	[-0.06709011  0.11244401]
ACBD4	[-0.06707337  0.11253388]
PARN	[0.06706522 0.11257766]
PCBD1	[0.06704603 0.11268084]
KIF13B	[0.06704579 0.11268214]
PLTP	[0.06703998 0.11271338]
LRCH1	[0.06703084 0.11276253]
ASPSCR1	[-0.06702827  0.11277634]
DEFB103A	[-0.06702617  0.11278766]
SERPINC1	[-0.06702601  0.11278852]
TBX15	[-0.06701904  0.11282604]
GFER	[-0.06701092  0.11286971]
ZNF76	[-0.06700929  0.11287851]
RBM7	[0.06700479 0.11290274]
MICAL1	[-0.06699763  0.11294131]
IMPG1	[-0.06699656  0.11294705]
PPIAL4	[-0.06699022  0.11298122]
LAMB4	[-0.06698381  0.11301578]
FLAD1	[-0.06698044  0.11303391]
FLJ37078	[-0.06696531  0.11311553]
ADIPOQ	[-0.06695367  0.11317831]
CADM2	[-0.06692697  0.11332242]
C11orf17	[-0.06692545  0.11333066]
DNAJC5	[-0.06692356  0.11334087]
OR10H1	[-0.06691676  0.11337756]
NRBP1	[-0.0669134   0.11339576]
C1orf43	[-0.06690462  0.11344319]
FANCB	[0.06689845 0.11347655]
C16orf73	[-0.06689618  0.11348882]
ESD	[0.06689013 0.11352156]
DFFB	[-0.06688689  0.11353908]
CORO1C	[-0.06688117  0.11357002]
FAM135B	[-0.06687121  0.11362388]
FCRLA	[-0.06687115  0.11362425]
PURA	[-0.06686974  0.11363183]
C6orf120	[-0.06685462  0.1137137 ]
PRSS21	[0.06684749 0.11375232]
ISL1	[-0.06683052  0.11384431]
VPRBP	[0.06682327 0.11388357]
TPH1	[-0.06682232  0.11388872]
TRPM4	[0.06680288 0.11399419]
RRM1	[0.06680281 0.11399456]
RPUSD2	[0.0668009  0.11400495]
CDCA4	[0.06678406 0.11409636]
FGF20	[-0.06674914  0.11428606]
CD8B	[-0.06672727  0.11440501]
ATP6V0A2	[-0.06672595  0.11441222]
MEGF6	[-0.06670157  0.11454493]
FAM137B	[-0.06665957  0.11477389]
CYYR1	[-0.06665868  0.11477874]
CACNA2D3	[0.06665488 0.11479947]
GPBAR1	[-0.0666532   0.11480863]
P2RY10	[-0.0666521   0.11481466]
LOC441212	[-0.06664637  0.11484592]
OR10K1	[-0.066631   0.1149298]
SMARCD1	[0.06662697 0.11495183]
HMGN4	[-0.06661894  0.11499572]
ACOT4	[-0.06660535  0.11506997]
MYO1E	[0.06659308 0.11513703]
ZRANB3	[0.06658795 0.11516513]
BRI3	[-0.06658525  0.11517986]
MBTPS2	[0.06657334 0.11524506]
FLJ44894	[0.06655092 0.11536778]
GAGE1	[-0.06652845  0.11549093]
TNKS	[0.06652573 0.11550584]
IRF7	[-0.06648571  0.1157254 ]
FAM139A	[-0.06646967  0.11581351]
LOC158830	[-0.06646455  0.11584161]
KRT222P	[-0.06646155  0.11585811]
SPSB2	[-0.0664589  0.1158727]
HNRPK	[0.06645749 0.11588041]
HOXD12	[-0.06644479  0.11595026]
POU2AF1	[-0.06643964  0.11597859]
ANAPC5	[-0.06643525  0.11600269]
SLC26A8	[-0.06642773  0.11604406]
NXPH1	[-0.06641447  0.11611706]
LRRC45	[-0.0663921   0.11624027]
ANGPTL7	[-0.06638996  0.11625207]
TMEM106A	[-0.06638055  0.11630389]
FAM120A	[0.066379   0.11631245]
UTY	[-0.06636929  0.11636598]
PPRC1	[0.06635241 0.11645912]
ADCY1	[-0.06634223  0.11651531]
SIN3A	[0.06634194 0.1165169 ]
CTNNA3	[-0.06633236  0.1165698 ]
FCAR	[-0.06632882  0.11658934]
RXFP2	[-0.06632047  0.11663544]
PEX5L	[-0.06631192  0.11668272]
GPR109B	[-0.06631173  0.11668376]
ATP2C1	[0.06629591 0.1167712 ]
ARHGEF10L	[-0.06629516  0.11677533]
CES7	[-0.06629198  0.11679291]
RUFY3	[-0.0662846   0.11683375]
CALM3	[0.06628228 0.11684659]
HOXA7	[-0.06627814  0.11686949]
DGKB	[-0.06627563  0.11688339]
RNASE6	[-0.06627292  0.11689839]
TXN	[0.06626454 0.11694475]
DIP2B	[0.06624661 0.11704407]
FLG2	[-0.06624433  0.11705669]
LGI4	[-0.06624337  0.11706202]
VAPA	[0.06623528 0.11710681]
COL1A1	[-0.06623313  0.11711873]
SNED1	[-0.06621337  0.11722828]
SERBP1	[0.06618349 0.1173941 ]
BRF1	[0.06618028 0.11741193]
XPA	[0.06615295 0.11756376]
bA16L21.2.1	[0.06614293 0.11761952]
GRIK2	[-0.06612111  0.11774087]
EED	[0.06609471 0.11788791]
ODF1	[-0.06608782  0.11792628]
JUNB	[0.06608247 0.11795609]
WDR20	[0.06606966 0.11802751]
USP47	[0.06606723 0.11804106]
C6orf115	[-0.06603446  0.11822389]
PDE1C	[-0.06603355  0.11822897]
SNIP	[-0.06600538  0.11838636]
POLA1	[0.06596767 0.11859726]
SLK	[0.06596083 0.11863556]
TRAF3IP3	[-0.06595622  0.11866134]
SAMD3	[-0.06595608  0.11866213]
CXorf9	[-0.06595214  0.11868421]
TTC12	[0.06595133 0.11868876]
ARHGEF7	[0.06594756 0.11870989]
PRPS2	[0.06591667 0.11888297]
FAM46C	[-0.06590844  0.11892911]
ENPP4	[-0.06588654  0.11905204]
CEP78	[0.06585388 0.11923546]
BPIL2	[-0.0658498   0.11925842]
MB	[-0.06584744  0.11927166]
NR2E1	[-0.06584736  0.11927214]
DSG1	[-0.0658292   0.11937429]
KCTD9	[0.06582292 0.1194096 ]
GPRC5B	[0.06580801 0.1194935 ]
CDC20B	[0.06580172 0.11952893]
TSNAX	[-0.06579759  0.1195522 ]
RBBP6	[0.06579679 0.1195567 ]
CCNA1	[0.06579565 0.11956311]
SAMD14	[-0.06578844  0.11960376]
RACGAP1	[0.06578283 0.11963536]
TMEM79	[-0.06577238  0.11969425]
SHOX2	[-0.06576736  0.11972258]
GYPE	[-0.06570746  0.12006065]
STAC	[0.06568175 0.12020602]
B3GNTL1	[-0.06567856  0.12022409]
ATF7	[0.06565849 0.12033763]
IL10RA	[-0.06564229  0.12042937]
TTF1	[0.06563461 0.12047288]
TRMT5	[0.06563107 0.12049295]
ZNF507	[0.06561884 0.12056227]
LALBA	[-0.06561666  0.12057464]
F12	[-0.06560591  0.12063558]
PCSK1	[-0.06558557  0.12075103]
C16orf55	[-0.06558491  0.12075475]
SERTAD3	[-0.06557747  0.12079698]
TRAF5	[-0.06557267  0.12082426]
C19orf59	[-0.06555116  0.12094647]
ZNF740	[0.06552829 0.12107649]
CD4	[-0.06548603  0.12131703]
LRRTM2	[-0.06548272  0.12133592]
ADAMTS12	[-0.06547518  0.12137887]
CENTA2	[-0.06546278  0.12144954]
TACR1	[-0.06545731  0.12148074]
STATH	[-0.06545563  0.12149033]
RHAG	[-0.06545468  0.12149573]
PXMP4	[0.06545296 0.12150557]
GPRIN1	[-0.06544862  0.1215303 ]
C7orf10	[-0.06543275  0.12162087]
FAM24B	[0.06542489 0.12166578]
NT5C2	[0.06541748 0.12170806]
CYP3A4	[-0.06540628  0.12177208]
SFMBT2	[-0.06539247  0.12185097]
MCOLN3	[-0.06538948  0.12186806]
PSG2	[-0.06537635  0.12194318]
TGFB1I1	[-0.06536852  0.12198792]
FLJ20920	[-0.06536027  0.12203514]
FCRL4	[-0.06535649  0.12205682]
JMJD4	[-0.06534135  0.12214345]
BCS1L	[0.06532809 0.12221946]
INCENP	[0.0653227  0.12225036]
GTF2E2	[0.06531021 0.12232192]
DRAM	[-0.06528128  0.12248791]
GOT1	[0.06525459 0.12264115]
HOXD11	[-0.06524483  0.12269726]
STAB1	[-0.06524045  0.12272245]
C14orf2	[0.06522414 0.12281623]
SNF1LK2	[0.0652177  0.12285329]
ZNF599	[-0.0652076   0.12291141]
NR2E3	[0.06519828 0.12296505]
USP28	[0.06519758 0.12296907]
DEFB123	[0.06518523 0.12304017]
LOC653314	[0.0651723  0.12311469]
KATNAL2	[0.06517194 0.12311673]
PPP2R1B	[0.06517089 0.12312279]
HFM1	[-0.06517019  0.12312684]
SOCS1	[-0.0651667   0.12314696]
RNF32	[-0.06515846  0.12319446]
RPL10A	[-0.06515596  0.12320887]
C20orf19	[0.06513407 0.12333514]
BTK	[-0.06512778  0.12337144]
VPS13A	[0.06511242 0.12346012]
CTSK	[-0.06510556  0.12349972]
DHX32	[0.06509346 0.12356966]
KLF15	[-0.06509018  0.12358861]
FANCI	[0.06506778 0.12371813]
S100A5	[-0.06505523  0.12379077]
HCN3	[-0.065042    0.12386734]
ZMAT1	[-0.06502692  0.1239547 ]
KLHDC7B	[-0.06502171  0.12398487]
ZMYND8	[0.06501701 0.12401208]
TMEM173	[0.06501028 0.12405108]
SEMA4A	[-0.06500607  0.12407553]
CEP170L	[-0.064987    0.12418611]
PDE6H	[-0.06498636  0.1241898 ]
SH3TC1	[-0.06498456  0.12420027]
BRE	[0.06497921 0.12423133]
SLC16A6	[-0.06497694  0.12424451]
STX7	[-0.06497293  0.12426774]
SSR4	[-0.06496166  0.12433321]
KLF14	[-0.06496009  0.12434233]
TMEM92	[-0.06495192  0.12438979]
DOCK5	[0.06494303 0.12444141]
CA12	[0.06492476 0.12454762]
GMEB2	[-0.06492359  0.12455441]
C17orf60	[-0.06492118  0.12456842]
TMEM69	[0.06491611 0.12459791]
TTC30A	[-0.06491264  0.12461813]
AOC2	[-0.06490489  0.12466321]
SF3A1	[0.06489425 0.12472514]
ZIC5	[-0.06488837  0.12475937]
CD40	[-0.06487646  0.12482874]
LOC606495	[-0.06487623  0.12483004]
C1orf83	[-0.06487089  0.12486114]
ZNF609	[0.06486861 0.12487443]
NCBP2	[0.06485525 0.12495235]
RNF20	[0.06483675 0.1250602 ]
TSLP	[-0.06480988  0.12521702]
RNF122	[-0.06480988  0.12521704]
MTA1	[0.0648067  0.12523559]
SCN5A	[0.06479911 0.12527993]
CD72	[-0.06479023  0.12533182]
MPP1	[-0.06478918  0.12533794]
IREB2	[0.06478642 0.12535407]
TSPAN2	[-0.06477824  0.12540187]
CES3	[0.06477    0.12545007]
MRAS	[-0.06476764  0.12546386]
APOC2	[-0.06475449  0.12554079]
ZFY	[-0.06475391  0.12554418]
PDIA2	[0.06475032 0.1255652 ]
CDSN	[-0.06474796  0.125579  ]
GTF3C6	[0.0647461 0.1255899]
THEX1	[0.06473957 0.12562809]
SOHLH2	[-0.06473253  0.12566931]
HIST1H4L	[-0.06468655  0.1259388 ]
MID1IP1	[0.06468371 0.12595546]
CORO7	[-0.06467468  0.12600843]
PDILT	[-0.06467381  0.12601354]
ASB7	[0.06466563 0.12606154]
MCPH1	[0.06466521 0.12606398]
NTRK1	[-0.06466236  0.12608069]
LOXL3	[-0.06465558  0.12612055]
MAK10	[0.06465362 0.12613202]
CLEC1A	[-0.06465307  0.12613528]
OR7D2	[-0.06463946  0.12621518]
UBE2B	[-0.06463796  0.12622402]
PRDM1	[-0.06462269  0.12631379]
DPYSL5	[-0.06462198  0.12631792]
PAK2	[0.06462055 0.12632635]
MEF2A	[0.06461248 0.12637381]
CTPS2	[0.06459094 0.12650051]
CDH11	[-0.06458216  0.12655221]
OR4K13	[-0.06457177  0.12661339]
UBR2	[-0.06456856  0.12663231]
LRRN1	[-0.06456459  0.1266557 ]
C15orf43	[-0.06455097  0.12673593]
SYTL3	[-0.06449941  0.12704014]
LOC152573	[-0.06449579  0.12706149]
AMFR	[0.06448155 0.12714561]
HAX1	[-0.0644763   0.12717664]
ZEB2	[-0.06445778  0.12728616]
MAP3K10	[-0.06442757  0.12746491]
PLA2G4F	[-0.06441306  0.1275508 ]
FANCE	[-0.06440699  0.12758676]
KIAA0256	[0.06440081 0.12762339]
LMX1A	[-0.06439918  0.12763303]
VPS13D	[0.0643907  0.12768334]
PIN1L	[-0.06439065  0.12768364]
WDFY2	[0.06438645 0.12770853]
MR1	[-0.06437286  0.12778909]
MUM1	[0.06437275 0.1277898 ]
HAGH	[-0.06437235  0.12779216]
ECGF1	[-0.06437184  0.12779517]
FAM35B	[0.06435147 0.12791605]
C20orf27	[0.06434439 0.12795812]
KIAA1429	[0.06433147 0.12803484]
HIST1H1T	[-0.06432554  0.12807007]
UBE2R2	[0.0643154  0.12813033]
LOC283871	[-0.06431425  0.12813719]
RPN2	[0.06429274 0.12826511]
SUSD4	[-0.06427681  0.1283599 ]
EFNA4	[-0.06426925  0.1284049 ]
PLEKHF1	[-0.06426917  0.12840534]
POLR2K	[-0.06424835  0.12852937]
PNLIPRP3	[-0.0642473   0.12853563]
MCFD2	[-0.06424595  0.1285437 ]
MGC12966	[-0.06423055  0.12863547]
LOC645843	[-0.06423052  0.12863567]
CNOT3	[0.06421904 0.12870412]
DAP	[-0.0642118   0.12874733]
CAMKV	[-0.06420506  0.12878753]
C17orf62	[-0.06419533  0.1288456 ]
COL8A2	[-0.0641949   0.12884815]
CARTPT	[-0.064154   0.1290925]
POLR3B	[0.06414004 0.12917599]
CLDN4	[0.06413776 0.12918964]
EDG6	[-0.06412497  0.12926617]
ARNTL2	[-0.06409744  0.12943107]
KIAA1683	[0.0640898  0.12947682]
C21orf88	[0.06407742 0.12955105]
POLM	[-0.0640709   0.12959014]
PKD2	[-0.06405318  0.12969639]
SMURF2	[-0.06405156  0.12970617]
BNIP2	[0.06404169 0.12976538]
MXRA7	[-0.06403692  0.12979401]
KIAA1189	[-0.06403451  0.12980846]
SPARC	[-0.0640285   0.12984458]
MED4	[0.06402536 0.12986343]
BST2	[0.06402269 0.12987945]
ITSN1	[0.06402214 0.12988276]
RLBP1L1	[-0.0640177   0.12990943]
SEPT11	[-0.06400508  0.12998532]
SGIP1	[-0.06400327  0.12999615]
BYSL	[-0.06400296  0.12999805]
CD68	[-0.06400161  0.13000617]
NUPR1	[-0.06399291  0.13005848]
GPR68	[-0.06399008  0.13007547]
REGL	[-0.06398991  0.13007651]
MPP3	[-0.063985    0.13010605]
PHYH	[-0.06398265  0.13012017]
DDX4	[-0.06397191  0.13018481]
OR11A1	[-0.06397191  0.13018482]
C14orf138	[-0.06394504  0.13034658]
AMBN	[-0.063943    0.13035889]
C12orf40	[-0.06394159  0.13036735]
EVC2	[-0.06392858  0.13044573]
AIF1	[-0.06392509  0.13046681]
IL6	[0.06389783 0.13063117]
ATP8A2	[-0.06389071  0.13067416]
SNW1	[0.06389066 0.13067445]
TIMP2	[-0.06388515  0.13070772]
